age_group,gender,education_level,employment_status,unemployment_duration,previous_experience,target_job_type,skill_alignment,skill_training,job_seeking_status,primary_barrier,preferred_sector,issue_severity_perception,proposed_solution
18–24,Female,Undergraduate,Employed,Not applicable,No,NA,No,Yes,Yes,Lack of experience,Private,Yes,Skill development
18–24,Female,Postgraduate,Unemployed,Less than 6 months,No,Full-time,Yes,Yes,Yes,Lack of experience,Private,Yes,Job creation
25–34,Female,Postgraduate,Employed,Not applicable,Yes,Full-time,Yes,Yes,Yes,Fewer job opportunities,Private,Yes,Job creation
18–24,Female,Postgraduate,Student,6–12 months,Yes,Full-time,Partially,No,No,Fewer job opportunities,Private,Yes,Skill development
18–24,Male,Postgraduate,Student,Less than 6 months,No,Full-time,Yes,No,No,Fewer job opportunities,Government,Yes,Job creation
18–24,Female,Undergraduate,Employed,Not applicable,No,Part-time,Yes,Yes,Yes,Fewer job opportunities,Private,Yes,Skill development
18–24,Male,Undergraduate,Employed,Not applicable,Yes,Full-time,Partially,No,Yes,Lack of experience,Government,Yes,Government support
18–24,Male,Undergraduate,Student,Not applicable,No,Part-time,Partially,No,Sometimes,Lack of experience,Government,Yes,Job creation
25–34,Male,Postgraduate,Employed,Less than 6 months,No,Full-time,Yes,Yes,No,Lack of experience,Private,Yes,Job creation
18–24,Female,Postgraduate,Student,Not applicable,No,Full-time,Partially,No,Yes,Lack of skills,Other,Yes,Skill development
25–34,Male,Postgraduate,Employed,Not applicable,Yes,Full-time,Yes,Yes,Sometimes,Fewer job opportunities,Private,Yes,Job creation
18–24,Female,Postgraduate,Student,Less than 6 months,Yes,Full-time,Yes,Maybe,Sometimes,Lack of experience,Private,Maybe,Government support
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
